Date,Price,Open,High,Low,Change %,USD_per_mt,USD_per_kg,VND_per_kg
2010-10-25,145.0,145.0,145.0,145.0,0.76,145.0,0.145,3813.4999999999995
2010-10-26,145.1,145.1,145.1,145.1,0.07,145.1,0.1451,3816.13
2010-10-27,144.5,144.5,144.5,144.5,-0.41,144.5,0.1445,3800.35
2010-10-28,144.0,144.0,144.0,144.0,-0.35,144.0,0.144,3787.2
2010-10-29,147.5,147.5,147.5,147.5,2.43,147.5,0.1475,3879.25
2010-11-01,146.0,146.0,146.0,146.0,-1.02,146.0,0.146,3839.7999999999997
2010-11-02,152.0,152.0,152.0,152.0,4.11,152.0,0.152,3997.6
2010-11-03,153.5,153.5,153.5,153.5,0.99,153.5,0.1535,4037.0499999999997
2010-11-04,156.5,156.5,156.5,156.5,1.95,156.5,0.1565,4115.95
2010-11-05,158.3,158.3,158.3,158.3,1.15,158.3,0.15830000000000002,4163.290000000001
2010-11-08,161.5,161.5,161.5,161.5,2.02,161.5,0.1615,4247.45
2010-11-09,162.0,162.0,162.0,162.0,0.31,162.0,0.162,4260.6
2010-11-10,157.5,157.5,157.5,157.5,-2.78,157.5,0.1575,4142.25
2010-11-11,159.0,159.0,159.0,159.0,0.95,159.0,0.159,4181.7
2010-11-12,155.8,155.8,155.8,155.8,-2.01,155.8,0.15580000000000002,4097.540000000001
2010-11-15,156.0,156.0,156.0,156.0,0.13,156.0,0.156,4102.8
2010-11-16,160.3,160.3,160.3,160.3,2.76,160.3,0.1603,4215.89
2010-11-17,158.5,158.5,158.5,158.5,-1.12,158.5,0.1585,4168.55
2010-11-18,158.0,158.0,158.0,158.0,-0.32,158.0,0.158,4155.4
2010-11-19,159.5,159.5,159.5,159.5,0.95,159.5,0.1595,4194.85
2010-11-22,160.0,160.0,160.0,160.0,0.31,160.0,0.16,4208.0
2010-11-23,161.0,161.0,161.0,161.0,0.63,161.0,0.161,4234.3
2010-11-24,161.5,161.5,161.5,161.5,0.31,161.5,0.1615,4247.45
2010-11-26,161.0,161.0,161.0,161.0,-0.31,161.0,0.161,4234.3
2010-11-29,160.5,160.5,160.5,160.5,-0.31,160.5,0.1605,4221.150000000001
2010-11-30,160.5,160.5,160.5,160.5,0.0,160.5,0.1605,4221.150000000001
2010-12-01,166.8,166.8,166.8,166.8,3.93,166.8,0.1668,4386.84
2010-12-02,167.0,167.0,167.0,167.0,0.12,167.0,0.167,4392.1
2010-12-03,168.0,168.0,168.0,168.0,0.6,168.0,0.168,4418.400000000001
2010-12-06,169.0,169.0,169.0,169.0,0.6,169.0,0.169,4444.700000000001
2010-12-07,169.9,169.9,169.9,169.9,0.53,169.9,0.1699,4468.37
2010-12-08,169.1,169.1,169.1,169.1,-0.47,169.1,0.1691,4447.33
2010-12-09,168.0,168.0,168.0,168.0,-0.65,168.0,0.168,4418.400000000001
2010-12-10,169.0,169.0,169.0,169.0,0.6,169.0,0.169,4444.700000000001
2010-12-13,169.0,169.0,169.0,169.0,0.0,169.0,0.169,4444.700000000001
2010-12-14,169.5,169.5,169.5,169.5,0.3,169.5,0.1695,4457.85
2010-12-15,169.5,169.5,169.5,169.5,0.0,169.5,0.1695,4457.85
2010-12-16,169.0,169.0,169.0,169.0,-0.29,169.0,0.169,4444.700000000001
2010-12-17,169.0,169.0,169.0,169.0,0.0,169.0,0.169,4444.700000000001
2010-12-20,169.0,169.0,169.0,169.0,0.0,169.0,0.169,4444.700000000001
2010-12-21,169.0,169.0,169.0,169.0,0.0,169.0,0.169,4444.700000000001
2010-12-22,168.8,168.8,168.8,168.8,-0.12,168.8,0.1688,4439.4400000000005
2010-12-23,168.8,168.8,168.8,168.8,0.0,168.8,0.1688,4439.4400000000005
2010-12-27,168.8,168.8,168.8,168.8,0.0,168.8,0.1688,4439.4400000000005
2010-12-28,168.8,168.8,168.8,168.8,0.0,168.8,0.1688,4439.4400000000005
2010-12-29,169.0,169.0,169.0,169.0,0.12,169.0,0.169,4444.700000000001
2010-12-30,169.0,169.0,169.0,169.0,0.0,169.0,0.169,4444.700000000001
2010-12-31,168.3,168.3,168.3,168.3,-0.41,168.3,0.1683,4426.29
2011-01-03,170.0,170.0,170.0,170.0,1.01,170.0,0.17,4471.0
2011-01-04,172.1,172.1,172.1,172.1,1.24,172.1,0.1721,4526.2300000000005
2011-01-05,174.5,174.5,174.5,174.5,1.39,174.5,0.1745,4589.349999999999
2011-01-06,173.5,173.5,173.5,173.5,-0.57,173.5,0.1735,4563.049999999999
2011-01-07,173.5,173.5,173.5,173.5,0.0,173.5,0.1735,4563.049999999999
2011-01-10,173.5,173.5,173.5,173.5,0.0,173.5,0.1735,4563.049999999999
2011-01-11,175.0,175.0,175.0,175.0,0.86,175.0,0.175,4602.5
2011-01-12,176.0,176.0,176.0,176.0,0.57,176.0,0.176,4628.8
