Date,Price,Open,High,Low,Change %,USD_per_mt,USD_per_kg,VND_per_kg
2006-01-02,15092.0,13372.0,15282.0,13372.0,12.86,15092.0,15.092,396919.6
2006-02-01,14831.0,15140.0,15650.0,14725.0,-1.73,14831.0,14.831,390055.3
2006-03-01,15153.0,14730.0,15362.0,14625.0,2.17,15153.0,15.153,398523.9
2006-04-03,19365.0,15901.0,20270.0,15751.0,27.8,19365.0,19.365,509299.5
2006-05-01,22595.0,19365.0,23970.0,19065.0,16.68,22595.0,22.595,594248.5
2006-06-01,22325.0,21115.0,22325.0,18015.0,-1.19,22325.0,22.325,587147.5
2006-07-03,27175.0,22735.0,28550.0,22735.0,21.72,27175.0,27.175,714702.5
2006-08-01,32300.0,27800.0,35200.0,26425.0,18.86,32300.0,32.3,849489.9999999999
2006-09-01,31300.0,31750.0,31750.0,26660.0,-3.1,31300.0,31.3,823190.0
2006-10-02,32450.0,31005.0,34700.0,29925.0,3.67,32450.0,32.45,853435.0000000001
2006-11-01,34675.0,32025.0,34675.0,29905.0,6.86,34675.0,34.675,911952.5
2006-12-01,34025.0,34750.0,35635.0,32780.0,-1.87,34025.0,34.025,894857.5
2007-01-01,39575.0,34025.0,41425.0,31575.0,16.31,39575.0,39.575,1040822.5
2007-02-01,44695.0,39625.0,45050.0,36825.0,12.94,44695.0,44.695,1175478.5
2007-03-01,46825.0,44700.0,50875.0,42100.0,4.77,46825.0,46.825,1231497.5
2007-04-02,49825.0,47650.0,52150.0,47650.0,6.41,49825.0,49.825,1310397.5
2007-05-01,48850.0,50575.0,54050.0,48260.0,-1.96,48850.0,48.85,1284755.0
2007-06-01,36315.0,50090.0,50125.0,36315.0,-25.66,36315.0,36.315,955084.5
2007-07-02,31485.0,36065.0,36490.0,30230.0,-13.3,31485.0,31.485,828055.5
2007-08-01,29550.0,30820.0,30820.0,24885.0,-6.15,29550.0,29.55,777165.0
2007-09-03,30235.0,29540.0,33540.0,26450.0,2.32,30235.0,30.235,795180.5
2007-10-01,31690.0,30090.0,32150.0,29805.0,4.81,31690.0,31.69,833447.0
2007-11-01,26750.0,32070.0,33510.0,26620.0,-15.59,26750.0,26.75,703525.0
2007-12-03,26010.0,26425.0,27046.0,25325.0,-2.77,26010.0,26.01,684063.0
2008-01-01,27180.0,26010.0,29620.0,26010.0,4.5,27180.0,27.18,714834.0
2008-02-01,31325.0,27785.0,31325.0,26575.0,15.25,31325.0,31.325,823847.5
2008-03-03,29495.0,33025.0,33185.0,28380.0,-5.84,29495.0,29.495,775718.5
2008-04-01,28395.0,29100.0,29610.0,28105.0,-3.73,28395.0,28.395,746788.5
2008-05-01,21963.0,28205.0,28730.0,21963.0,-22.65,21963.0,21.963,577626.9
2008-06-02,21793.0,22050.0,24540.0,21335.0,-0.77,21793.0,21.793,573155.9
2008-07-01,18225.0,21395.0,21756.0,17915.0,-16.37,18225.0,18.225,479317.50000000006
2008-07-04,20469.0,20469.0,20469.0,20469.0,12.31,20469.0,20.469,538334.7000000001
2008-07-07,20785.0,20785.0,20785.0,20785.0,1.54,20785.0,20.785,546645.5
2008-07-08,20460.0,20460.0,20460.0,20460.0,-1.56,20460.0,20.46,538098.0
2008-07-09,21309.0,21309.0,21309.0,21309.0,4.15,21309.0,21.309,560426.7000000001
2008-07-10,21760.0,21760.0,21760.0,21760.0,2.12,21760.0,21.76,572288.0
2008-07-11,21455.0,21455.0,21455.0,21455.0,-1.4,21455.0,21.455,564266.5
2008-07-14,20593.0,20593.0,20593.0,20593.0,-4.02,20593.0,20.593,541595.9
2008-07-17,20683.0,20683.0,20683.0,20683.0,0.44,20683.0,20.683,543962.9
2008-07-18,20308.0,20308.0,20308.0,20308.0,-1.81,20308.0,20.308,534100.4
2008-07-21,20453.0,20453.0,20453.0,20453.0,0.71,20453.0,20.453,537913.9
